constant_secular_drift_hz_per_s,bigear_null_visits_still_in_band,active_campaigns,active_campaign_count,log10_max_likelihood_suppression_vs_original_only,drift_during_original_72s_hz,fits_original_10khz_channel
1e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.2e-07,True
1.0682017746080346e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.691052777177849e-07,True
1.141055031275752e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.215596225185415e-07,True
1.2188770093341847e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.775914467206129e-07,True
1.3020065843997071e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,9.374447407677891e-07,True
1.390805744007113e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.0013801356851214e-06,True
1.4856611638834428e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.0696760379960789e-06,True
1.5869858917265316e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.1426298420431029e-06,True
1.6952211458201953e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.2205592249905406e-06,True
1.8108382363181948e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.3038035301491003e-06,True
1.9343406175631792e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.392725244645489e-06,True
2.066266080377385e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.4877115778717173e-06,True
2.2071890938715107e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.5891761475874878e-06,True
2.3577233069690425e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.6975607810177106e-06,True
2.5185242205390552e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.8133374387881198e-06,True
2.6902920417731358e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.9370102700766578e-06,True
2.8737747332359302e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.0691178079298695e-06,True
3.069771269866352e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.2102353143037736e-06,True
3.27913511811199e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.3609772850406326e-06,True
3.5027779523467546e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.522000125689663e-06,True
3.741673624754693e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.6940050098233794e-06,True
3.9968624059670405e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,2.877740932296269e-06,True
4.269455514918123e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.0740079707410484e-06,True
4.5606399576455985e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.2836607695048307e-06,True
4.87168369610534e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.507612261195845e-06,True
5.203941169508743e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,3.746837642046295e-06,True
5.558859192225049e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.002378618402036e-06,True
5.9379832539309715e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.2753479428303e-06,True
6.342964249441855e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.566934259598136e-06,True
6.775565667529095e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,4.878407280620949e-06,True
7.237671270027852e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.211123314420053e-06,True
7.731293294673323e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.566531172164793e-06,True
8.258581217385243e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,5.946178476517375e-06,True
8.821831112155498e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,6.351718400751958e-06,True
9.423495649296855e-08,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,6.784916867493736e-06,True
1.0066194775589993e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.247660238424795e-06,True
1.0752727122835336e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,7.741963528441442e-06,True
1.148608219448865e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.269979180031828e-06,True
1.2269453383446526e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,8.834006436081498e-06,True
1.3106251877668105e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,9.436501351921035e-06,True
1.4000121514184956e-07,89,"BIGEAR,VLA1995,VLA1996,HOBART,ATA",5,-12.54309675015425,1.0080087490213169e-05,True
